Servidor_IP,Pais,ISP,Modo_Servidor,Version,Online,Max,Muestra,Premium_Muestra,NoPremium_Muestra,Nuevos_Jugadores,Icono
hypixel.net,Canada,"Cloudflare, Inc.",PREMIUM,Requires MC 1.8 / 1.21,20753,200000,0,0,0,0,hypixel.net.png
mc.hypixel.net,Unknown,Unknown,PREMIUM,Requires MC 1.8 / 1.21,20669,200000,0,0,0,0,mc.hypixel.net.png
DonutSMP.net,Unknown,Unknown,DESCONOCIDO,Velocity 1.7.2-1.21.9,18374,35000,15,0,0,0,DonutSMP.net.png
mp.mc-complex.com,Canada,OVH SAS,PREMIUM,Velocity 1.7.2-1.21.10,6499,6549,0,0,0,0,mp.mc-complex.com.png
hub.insanitycraft.net,Unknown,Unknown,PREMIUM,FlameCord 1.7.x-1.21.x,3940,4000,0,0,0,0,hub.insanitycraft.net.png
adm1nabuse.minehut.gg,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,3550,1505,0,0,0,0,adm1nabuse.minehut.gg.png
CellblockX.minehut.gg:25565,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3545,1504,0,0,0,0,CellblockX.minehut.gg_25565.png
mc.minehut.com:25565,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,3545,1501,0,0,0,0,mc.minehut.com_25565.png
BudgetMC.minehut.gg:25565,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,3516,1482,0,0,0,0,BudgetMC.minehut.gg_25565.png
mcventure.minehut.gg,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,3516,1482,0,0,0,0,mcventure.minehut.gg.png
3mpires.minehut.gg:25565,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3516,1482,0,0,0,0,3mpires.minehut.gg_25565.png
2025GGMC.minehut.gg,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,3511,1479,0,0,0,0,2025GGMC.minehut.gg.png
bearwars.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3511,1481,0,0,0,0,bearwars.minehut.gg.png
crusherboxx.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3509,1480,0,0,0,0,crusherboxx.minehut.gg.png
graveltd.minehut.gg,Unknown,Unknown,PREMIUM,Velocity 1.7.2-1.21.9,3508,1477,0,0,0,0,graveltd.minehut.gg.png
mc.normalsmp.com,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3508,1478,0,0,0,0,mc.normalsmp.com.png
play.wondrs.net,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3508,1473,0,0,0,0,play.wondrs.net.png
ElytraBoxed.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3508,1474,0,0,0,0,ElytraBoxed.minehut.gg.png
insanewars.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3507,1475,0,0,0,0,insanewars.minehut.gg.png
NeulandSMP.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3506,1474,0,0,0,0,NeulandSMP.minehut.gg.png
DuskfallMC.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3505,1476,0,0,0,0,DuskfallMC.minehut.gg.png
hasanbasmp.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3502,1481,0,0,0,0,hasanbasmp.minehut.gg.png
3vboPKR.minehut.gg,Canada,"Cloudflare, Inc.",PREMIUM,Velocity 1.7.2-1.21.9,3502,1481,0,0,0,0,3vboPKR.minehut.gg.png
